"table","fieldName","description","units"
"SWS_30_minute","VSICGapNAQM","Volumetric soil ion content quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSICSpikeFailQM","Volumetric soil ion content quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICSpikePassQM","Volumetric soil ion content quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","percent"
"SWS_30_minute","VSICSpikeNAQM","Volumetric soil ion content quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSICValidCalFailQM","Volumetric soil ion content quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent","percent"
"SWS_30_minute","VSICValidCalPassQM","Volumetric soil ion content quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent","percent"
"SWS_30_minute","VSICValidCalNAQM","Volumetric soil ion content quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","VSICAlphaQM","Volumetric soil ion content quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent"
"SWS_30_minute","VSICBetaQM","Volumetric soil ion content quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent"
"SWS_30_minute","VSICFinalQF","Volumetric soil ion content quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",NA
"SWS_30_minute","VSICFinalQFSciRvw","Volumetric soil ion content quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",NA
"SWS_30_minute","tempFailQM","Quality metric that summarizes the failed outcomes of the temperature test over the averaging period, as a percent","percent"
"SWS_30_minute","tempPassQM","Quality metric that summarizes the passed outcomes of the temperature test over the averaging period, as a percent","percent"
"SWS_30_minute","tempNAQM","Quality metric that summarizes when the temperature test could not be run over the averaging period, as a percent","percent"
"SWS_30_minute","calDefaultQM","Quality metric that summarizes the occurrence of manufacturer default calibration coefficient outcomes of the calibration test over the averaging period, as a percent","percent"
"SWS_30_minute","calNEONQM","Quality metric that summarizes the occurrence of NEON site- and depth-specific calibration coefficient outcomes of the calibration test over the averaging period, as a percent","percent"
"SWS_30_minute","calNAQM","Quality metric that summarizes when the calibration test could not be run over the averaging period, as a percent","percent"
