dpID,site,table,years_available_averaged,siteID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,freshMass_mean_2018_2024,dryMass_mean_2018_2024,scannedLeafNumber_mean_2018_2024,leafArea_mean_2018_2024,percentGreen_mean_2018_2024,leafMassPerArea_mean_2018_2024,dryMassFraction_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,freshMass_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,scannedLeafNumber_mean_2018_2024_unit,leafArea_mean_2018_2024_unit,percentGreen_mean_2018_2024_unit,leafMassPerArea_mean_2018_2024_unit,dryMassFraction_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_016.basePlot.cfc,distributed,drmNO6RIfvRq5LlqfiTWj53Dx+U56zhfW8uisn0tIT0=,A00000180989,1,3.277,1.502,85,16784.7,100,89.5,0.458,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_016.basePlot.cfc,distributed,drmNO6RIfvSBq1AlK/oMR9BmUs2khtfvc2w7t968+b4=,A00000180962,1,2.259,1.011,8,27518.8,100,36.7,0.448,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_016.basePlot.cfc,distributed,drmNO6RIfvSgm/ELmcniOGuMQ9A5uJqfBw1iaJhUhws=,A00000177530,1,6.779,3.185,35,22633.8,100,140.7,0.47,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_019.basePlot.cfc,distributed,drmNO6RIfvQfBIAWGdWRq+/UBlnLnHZioeEP7rTMnIU=,A00000180974,1,5.313,2.51,45,20393.4,100,123.1,0.472,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_019.basePlot.cfc,distributed,drmNO6RIfvQxjX2PjOd7G2OuFbFkeQW4t/W6ma2jiRI=,A00000180952,1,4.825,2.643,6,18658.7,100,141.6,0.548,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_019.basePlot.cfc,distributed,drmNO6RIfvQxjX2PjOd7Gy2jXbKMsiBRkjnWZsbVuVI=,A00000134878,1,3.62,2.175,2,12856.5,100,169.2,0.601,2019,2019,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_019.basePlot.cfc,distributed,drmNO6RIfvRG7HuOGRWFFl/vPHFc071IpguL/Hf1I8k=,A00000134996,1,9.563,5.582,1,40176.3,100,138.9,0.584,2019,2019,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_019.basePlot.cfc,distributed,drmNO6RIfvSISQEzXND0OE3bsapmYf1V8reOaMHVZ1c=,A00000180933,1,5.458,1.987,10,27139,100,73.2,0.364,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_019.basePlot.cfc,distributed,drmNO6RIfvSo0DvmKRgZBRJgqaoW7qaxnO0dPkdge5I=,A00000180925,1,6.208,2.844,4,29599,100,96.1,0.458,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_019.basePlot.cfc,distributed,drmNO6RIfvT3dWzYoy+hQ+mxPFjN2ZcbKw4KLjjNfhQ=,A00000134910,1,4.395,2.184,8,24357.8,100,89.7,0.497,2019,2019,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
