dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,horizon,sampleTopDepth,sampleBottomDepth,sampleExtent,n_raw_records,coreCoordinateX_mean_2018_2024,coreCoordinateY_mean_2018_2024,decimalLatitude_mean_2018_2024,decimalLongitude_mean_2018_2024,coordinateUncertainty_mean_2018_2024,elevation_mean_2018_2024,elevationUncertainty_mean_2018_2024,standingWaterDepth_mean_2018_2024,soilTemp_mean_2018_2024,litterDepth_mean_2018_2024,soilCoreCount_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,coreCoordinateX_mean_2018_2024_unit,coreCoordinateY_mean_2018_2024_unit,decimalLatitude_mean_2018_2024_unit,decimalLongitude_mean_2018_2024_unit,coordinateUncertainty_mean_2018_2024_unit,elevation_mean_2018_2024_unit,elevationUncertainty_mean_2018_2024_unit,standingWaterDepth_mean_2018_2024_unit,soilTemp_mean_2018_2024_unit,litterDepth_mean_2018_2024_unit,soilCoreCount_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,3.3,obstruction,1,35.5,4,40.042345,-105.558975,20.1,3213.5,0.11,0,5.5,1.5,2,2021,2021,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,3.4,entire,2,29.75,19.75,40.042345,-105.558975,20.1,3213.5,0.11,0,8.3,1,2,2019.5,2019.5,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,3.6,entire,2,3.75,9.75,40.042345,-105.558975,20.1,3213.5,0.11,0,11.7,2.75,2,2021.5,2021.5,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,3.8,entire,2,3.5,16.25,40.042345,-105.558975,20.1,3213.5,0.11,0,9.75,4.5,2.5,2021,2021,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,3.9,entire,2,16,22.75,40.042345,-105.558975,20.1,3213.5,0.11,0,11.350000000000001,3,2.5,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,4,entire,1,20,31,40.042345,-105.558975,20.1,3213.5,0.11,0,3.6,3,2,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,4.1,entire,1,16,35.5,40.042345,-105.558975,20.1,3213.5,0.11,0,8,1.5,2,2022,2022,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,4.4,entire,1,10.5,33,40.042345,-105.558975,20.1,3213.5,0.11,0,10.2,1,2,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,4.5,entire,1,10,39.5,40.042345,-105.558975,20.1,3213.5,0.11,0,6.3,2,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,NIWO,sls_soilCoreCollection,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,O,0,4.8,entire,1,10,39.5,40.042345,-105.558975,20.1,3213.5,0.11,0,5,1.5,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
