siteID,horizontalPosition,verticalPosition,table,PARMean,PARMinimum,PARMaximum,PARVariance,PARNumPts,PARExpUncert,PARStdErMean,PARFinalQF,outPARMean,outPARMinimum,outPARMaximum,outPARVariance,outPARNumPts,outPARExpUncert,outPARStdErMean,outPARFinalQF,table,site,height_m,source_file
CLBJ,000,020,PARPAR_1min,108.6662487,81.11674648,147.0266731,3164.567037,59.99557991,6.992551535,2.153915223,0.016426585,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,CLBJ,2,DP1.00024.001.CLBJ.AVERAGE_ALL_VARIABLES.csv
CLBJ,000,030,PARPAR_1min,397.9851556,378.9285198,416.8424666,2821.586964,59.99547785,13.70597043,1.497480638,0.040728882,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,CLBJ,3,DP1.00024.001.CLBJ.AVERAGE_ALL_VARIABLES.csv
CLBJ,000,040,PARPAR_1min,402.1497283,382.8942124,421.1730434,2881.191894,59.99480307,14.81667348,1.512304549,0.022617108,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,CLBJ,4,DP1.00024.001.CLBJ.AVERAGE_ALL_VARIABLES.csv
CLBJ,000,050,PARPAR_1min,414.0426257,394.3036797,433.4246326,2958.879887,59.99359996,14.92272256,1.541299413,0.02956291,32.6177188,31.50867754,33.73667046,5.824701612,59.99384635,1.42886084,0.082275715,0.151064616,PARPAR_1min,CLBJ,5,DP1.00024.001.CLBJ.AVERAGE_ALL_VARIABLES.csv
CLBJ,000,010,PARPAR_30min,73.96507433,29.36563287,182.4668714,8417.887299,1798.034188,6.315467658,0.848832354,0.044127232,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,CLBJ,1,DP1.00024.001.CLBJ.AVERAGE_ALL_VARIABLES.csv
CLBJ,000,020,PARPAR_30min,108.8310922,42.47142789,260.6459149,13074.48404,1797.866072,8.489428647,1.169300459,0.017647634,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,CLBJ,2,DP1.00024.001.CLBJ.AVERAGE_ALL_VARIABLES.csv
CLBJ,000,030,PARPAR_30min,398.3786399,289.9115408,496.5535741,15307.84048,1798.08506,15.10503556,1.272546076,0.041650372,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,CLBJ,3,DP1.00024.001.CLBJ.AVERAGE_ALL_VARIABLES.csv
CLBJ,000,040,PARPAR_30min,402.5198869,292.7897726,501.6518237,15617.67703,1798.021256,16.44153714,1.283831178,0.023611654282362102,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,CLBJ,4,DP1.00024.001.CLBJ.AVERAGE_ALL_VARIABLES.csv
CLBJ,000,050,PARPAR_30min,414.6095021,300.9216255,516.0596175,16107.00142,1797.485057,16.5481034,1.312615198,0.030952614,32.6385798,26.94754489,38.22056096,32.20818998,1797.425286,1.509203794,0.062590374,0.152351388,PARPAR_30min,CLBJ,5,DP1.00024.001.CLBJ.AVERAGE_ALL_VARIABLES.csv
CPER,000,010,PARPAR_1min,381.7183102,361.4069519,400.4314136,2409.133515,59.99369786,13.46707636,1.457570488,0.012441338,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,CPER,1,DP1.00024.001.CPER.AVERAGE_ALL_VARIABLES.csv
CPER,000,020,PARPAR_1min,392.4463522,375.2585544,409.5649447,2396.387425,59.99397852,14.35946377,1.347887746,0.011633913,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,CPER,2,DP1.00024.001.CPER.AVERAGE_ALL_VARIABLES.csv
CPER,000,030,PARPAR_1min,400.2658013,383.0184464,417.1583598,2389.643352,59.99525134,13.79280523,1.343925312,0.024867466,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,CPER,3,DP1.00024.001.CPER.AVERAGE_ALL_VARIABLES.csv
CPER,000,040,PARPAR_1min,404.4813561,386.7293124,421.6302774,2520.114771,59.99355147,14.95959301,1.37269621,0.04871024,65.0440892,62.58126923,67.46374,42.81350031,59.99387273,2.533541722,0.189936304,0.022838993,PARPAR_1min,CPER,4,DP1.00024.001.CPER.AVERAGE_ALL_VARIABLES.csv
CPER,000,010,PARPAR_30min,382.1476298,273.8509466,488.2584556,15592.2548,1797.439239,15.331585,1.296270821,0.014095294,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,CPER,1,DP1.00024.001.CPER.AVERAGE_ALL_VARIABLES.csv
CPER,000,020,PARPAR_30min,392.9117136,286.6401623,496.864492,15887.52733,1797.409622,16.44199424,1.293986831,0.013256094,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,CPER,2,DP1.00024.001.CPER.AVERAGE_ALL_VARIABLES.csv
CPER,000,030,PARPAR_30min,400.5602501,292.7982328,505.1325174,15964.77815,1797.813476,15.71952053,1.305164386,0.026275909,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,CPER,3,DP1.00024.001.CPER.AVERAGE_ALL_VARIABLES.csv
CPER,000,040,PARPAR_30min,404.9427234,291.4505359,510.403725,16588.71582,1797.392538,17.15653051,1.329561423,0.050197171,65.11344317,49.44112142,80.73533309,359.5871406,1797.412751,2.802515485,0.192542542,0.024434559,PARPAR_30min,CPER,4,DP1.00024.001.CPER.AVERAGE_ALL_VARIABLES.csv
DCFS,000,010,PARPAR_1min,281.3426504,256.5169212,302.1557991,2615.15591,59.99557932,10.04725999,1.607604812,0.037042921,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,DCFS,1,DP1.00024.001.DCFS.AVERAGE_ALL_VARIABLES.csv
DCFS,000,020,PARPAR_1min,338.3459003,321.5337323,355.3236291,2436.273674,59.9931264,11.31718878,1.323469876,0.020890366,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,DCFS,2,DP1.00024.001.DCFS.AVERAGE_ALL_VARIABLES.csv
DCFS,000,030,PARPAR_1min,335.2030668,318.6305714,351.9614688,2354.227957,59.99609367,10.97931575,1.306176231,0.061823752,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,DCFS,3,DP1.00024.001.DCFS.AVERAGE_ALL_VARIABLES.csv
DCFS,000,040,PARPAR_1min,340.7115151,324.0400872,357.5351747,2395.341027,59.99508836,11.3586216,1.31071713,0.014634935,77.53282342,74.89849592,80.17482118,66.14692469,59.99529025,2.842673067,0.203184559,0.012172468,PARPAR_1min,DCFS,4,DP1.00024.001.DCFS.AVERAGE_ALL_VARIABLES.csv
DCFS,000,010,PARPAR_30min,281.74171,189.1773584,371.4108863,11356.67133,1798.231955,10.8174297,1.03375077,0.038000261,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,DCFS,1,DP1.00024.001.DCFS.AVERAGE_ALL_VARIABLES.csv
DCFS,000,020,PARPAR_30min,338.7628958,246.4457748,430.2934437,12121.16279,1798.002596,12.50850144,1.101100892,0.021982141,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,DCFS,2,DP1.00024.001.DCFS.AVERAGE_ALL_VARIABLES.csv
